TABLE 6B - NEW PROCEDURE CODES
Procedure Code	Description	O.R.	MDC	MS-DRG
XNSB3GA^	Reposition Left Upper Femur with Ring External Fixation Device with Automated Strut Adjustment, Percutaneous Approach, New Technology Group 10	Y	08	480, 481, 482
""			21	907, 908, 909
""			24	956
""				981, 982, 983
XNSC0GA^	Reposition Right Lower Femur with Ring External Fixation Device with Automated Strut Adjustment, Open Approach, New Technology Group 10	Y	08	480, 481, 482
""			21	907, 908, 909
""			24	956
""				981, 982, 983
XNSC3GA^	Reposition Right Lower Femur with Ring External Fixation Device with Automated Strut Adjustment, Percutaneous Approach, New Technology Group 10	Y	08	480, 481, 482
""			21	907, 908, 909
""			24	956
""				981, 982, 983
XNSD0GA^	Reposition Left Lower Femur with Ring External Fixation Device with Automated Strut Adjustment, Open Approach, New Technology Group 10	Y	08	480, 481, 482
""			21	907, 908, 909
""			24	956
""				981, 982, 983
XNSD3GA^	Reposition Left Lower Femur with Ring External Fixation Device with Automated Strut Adjustment, Percutaneous Approach, New Technology Group 10	Y	08	480, 481, 482
""			21	907, 908, 909
""			24	956
""				981, 982, 983
XNSE0GA^	Reposition Right Femoral Shaft with Ring External Fixation Device with Automated Strut Adjustment, Open Approach, New Technology Group 10	Y	08	480, 481, 482
""			21	907, 908, 909
""			24	956
""				981, 982, 983
XNSE3GA^	Reposition Right Femoral Shaft with Ring External Fixation Device with Automated Strut Adjustment, Percutaneous Approach, New Technology Group 10	Y	08	480, 481, 482
""			21	907, 908, 909
""			24	956
""				981, 982, 983
XNSF0GA^	Reposition Left Femoral Shaft with Ring External Fixation Device with Automated Strut Adjustment, Open Approach, New Technology Group 10	Y	08	480, 481, 482
""			21	907, 908, 909
""			24	956
""				981, 982, 983
XNSF3GA^	Reposition Left Femoral Shaft with Ring External Fixation Device with Automated Strut Adjustment, Percutaneous Approach, New Technology Group 10	Y	08	480, 481, 482
""			21	907, 908, 909
""			24	956
""				981, 982, 983
XNSG0GA^	Reposition Right Tibia with Ring External Fixation Device with Automated Strut Adjustment, Open Approach, New Technology Group 10	Y	08	492, 493, 494
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XNSG3GA^	Reposition Right Tibia with Ring External Fixation Device with Automated Strut Adjustment, Percutaneous Approach, New Technology Group 10	Y	08	492, 493, 494
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XNSH0GA^	Reposition Left Tibia with Ring External Fixation Device with Automated Strut Adjustment, Open Approach, New Technology Group 10	Y	08	492, 493, 494
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
XNSH3GA^	Reposition Left Tibia with Ring External Fixation Device with Automated Strut Adjustment, Percutaneous Approach, New Technology Group 10	Y	08	492, 493, 494
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
