DRG_Cd,DRG_Desc,HH_Cases,HH_%,ESC_Cases,ESC_%,Nat_Cases,Nat_%,Diff_vs_Nat_%,Diff_vs_ESC_%,Ratio_vs_Nat
271,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH CC,27.0,0.2931596091205212,445.0,0.14272014984012135,7339,0.14818835246414877,0.14497125665637242,0.15043945928039984,1.9782904948042077
274,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITHOUT MCC,113.0,1.226927252985885,3928.0,1.2597859518471837,58174,1.1746435776331097,0.05228367535277534,-0.03285869886129866,1.0445102466384963
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",72.0,0.7817589576547231,5332.0,1.7100760425787127,83841,1.6929090692119768,-0.9111501115572537,-0.9283170849239896,0.4617843757069716
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",47.0,0.510314875135722,1881.0,0.6032732625826254,30631,0.6184980820723998,-0.10818320693667771,-0.09295838744690332,0.8250872394394684
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC",15.0,0.16286644951140067,391.0,0.12540130019660103,5809,0.11729474580518329,0.04557170370621738,0.037465149314799634,1.3885229759729234
283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",22.0,0.23887079261672098,168.0,0.05388086555761885,2154,0.043493352119876885,0.19537744049684408,0.18498992705910214,5.492121921491416
286,"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITH MCC",119.0,1.292073832790445,2164.0,0.6940368634921857,34223,0.6910273860717486,0.6010464467186964,0.5980369692982593,1.8697867245688153
287,"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITHOUT MCC",75.0,0.8143322475570033,2151.0,0.689867510800227,28522,0.5759133654424924,0.2384188821145109,0.12446473675677627,1.4139839365098363
291,HEART FAILURE AND SHOCK WITH MCC,389.0,4.223669923995657,19342.0,6.203355366758713,304694,6.152350710684201,-1.9286807866885436,-1.9796854427630564,0.6865131918862838
292,HEART FAILURE AND SHOCK WITH CC,45.0,0.4885993485342019,368.0,0.11802475312621272,5135,0.1036854053554168,0.3849139431787851,0.3705745954079892,4.712325200054553
299,PERIPHERAL VASCULAR DISORDERS WITH MCC,23.0,0.249728555917481,436.0,0.13983367489953463,8550,0.17264074309421884,0.07708781282326216,0.10989488101794637,1.4465215536125873
300,PERIPHERAL VASCULAR DISORDERS WITH CC,19.0,0.2062975027144408,578.0,0.1853758350732363,12552,0.2534487260021795,-0.047151223287738686,0.02092166764120451,0.8139614902332032
304,HYPERTENSION WITH MCC,18.0,0.19543973941368079,284.0,0.0910843203474033,4774,0.09639612953588313,0.09904360987779766,0.10435541906627749,2.0274645917285405
305,HYPERTENSION WITHOUT MCC,35.0,0.3800217155266015,1149.0,0.3685066340815718,17181,0.34691703007038294,0.033104685456218585,0.011515081445029718,1.0954253685657989
308,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC,102.0,1.1074918566775245,2935.0,0.9413115500691149,42862,0.8654652082461295,0.242026648431395,0.16618030660840954,1.2796491945896513
309,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC,109.0,1.1834961997828448,4037.0,1.2947443705720671,60439,1.2203782306282447,-0.03688203084539987,-0.11124817078922233,0.9697781966936486
310,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITHOUT CC/MCC,22.0,0.23887079261672098,1962.0,0.6292515370479058,24508,0.4948630797372065,-0.2559922871204855,-0.39038074443118487,0.48270077602793
312,SYNCOPE AND COLLAPSE,116.0,1.259500542888165,3039.0,0.9746663716047839,51859,1.0471317305407128,0.21236881234745209,0.28483417128338107,1.202810024902779
313,CHEST PAIN,21.0,0.2280130293159609,1039.0,0.33322749591884515,13606,0.27473098836724463,-0.04671795905128373,-0.10521446660288425,0.829950165691415
314,OTHER CIRCULATORY SYSTEM DIAGNOSES WITH MCC,55.0,0.5971769815418024,1580.0,0.5067367117918916,25543,0.5157616960065067,0.08141528553529576,0.09044026974991082,1.1578544629538923
315,OTHER CIRCULATORY SYSTEM DIAGNOSES WITH CC,14.0,0.15200868621064062,497.0,0.15939756060795576,8781,0.17730507194272932,-0.0252963857320887,-0.007388874397315143,0.8573284708952963
321,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH INTRALUMINAL DEVICE WITH MCC OR 4+ ARTERIES/,66.0,0.7166123778501629,2041.0,0.6545883726375004,30999,0.625928701190373,0.09068367665978982,0.06202400521266249,1.1448786043639319
322,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH INTRALUMINAL DEVICE WITHOUT MCC,140.0,1.520086862106406,3403.0,1.0914082469796247,46534,0.9396098642276467,0.5804769978787594,0.4286786151267814,1.617785125484935
327,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH CC",14.0,0.15200868621064062,206.0,0.06606820419565168,4003,0.08082817480773778,0.07118051140290284,0.08594048201498894,1.8806398458485127
328,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITHOUT CC/MCC",14.0,0.15200868621064062,144.0,0.04618359904938758,2141,0.04323085742277456,0.10877782878786606,0.10582508716125304,3.5162079882912645
329,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC,41.0,0.4451682953311618,1542.0,0.4945493731538587,24579,0.49629670462138065,-0.051128409290218835,-0.049381077822696906,0.896980155592159
330,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC,52.0,0.5646036916395223,1977.0,0.6340623286155503,33073,0.6678067013280818,-0.10320300968855955,-0.06945863697602805,0.8454597573170238
331,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC,56.0,0.6080347448425625,1099.0,0.3524706621894233,11649,0.23521544050345675,0.3728193043391057,0.2555640826531392,2.585012036374486
336,PERITONEAL ADHESIOLYSIS WITH CC,11.0,0.11943539630836049,93.0,0.02982690771939615,1716,0.03464930001750638,0.08478609629085411,0.08960848858896434,3.4469786185584232
355,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITHOUT CC/MCC,13.0,0.14115092290988057,40.0,0.012828777513718774,790,0.01595160082391028,0.1251993220859703,0.1283221453961618,8.84869954232466
356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH MCC,21.0,0.2280130293159609,135.0,0.043297124108800863,2095,0.04230203003302789,0.185710999282933,0.18471590520716002,5.390120264628828
371,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH MCC,24.0,0.26058631921824105,297.0,0.0952536730393619,5401,0.10905645069612584,0.1515298685221152,0.16533264617887916,2.3894626824444987
372,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC,40.0,0.43431053203040176,511.0,0.16388763273775733,9250,0.18677507293818998,0.24753545909221178,0.2704228992926444,2.325313143762655
377,GASTROINTESTINAL HEMORRHAGE WITH MCC,69.0,0.749185667752443,2992.0,0.9595925580261643,51100,1.0318060786098928,-0.2826204108574498,-0.21040689027372128,0.7260915430560247
378,GASTROINTESTINAL HEMORRHAGE WITH CC,116.0,1.259500542888165,4975.0,1.5955792032687723,75613,1.5267701178459847,-0.2672695749578198,-0.3360786603806074,0.8249444550729798
386,INFLAMMATORY BOWEL DISEASE WITH CC,11.0,0.11943539630836049,31.0,0.00994230257313205,1018,0.020555353973089448,0.09888004233527103,0.10949309373522843,5.810427612422647
388,GASTROINTESTINAL OBSTRUCTION WITH MCC,30.0,0.32573289902280134,509.0,0.1632461938620714,8832,0.1783348588313615,0.14739804019143984,0.16248670516072994,1.8265239962469908
389,GASTROINTESTINAL OBSTRUCTION WITH CC,43.0,0.46688382193268185,1900.0,0.6093669319016418,32114,0.6484426694418414,-0.18155884750915952,-0.14248310996895996,0.7200078648966153
390,GASTROINTESTINAL OBSTRUCTION WITHOUT CC/MCC,19.0,0.2062975027144408,443.0,0.14207871096443545,8779,0.17726468814317511,0.02903281457126569,0.06421879175000536,1.1637822787797203
391,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITH MCC",48.0,0.5211726384364821,1516.0,0.48621066776994154,30034,0.60644351790547,-0.08527087946898793,0.034961970666540554,0.8593918857216978
392,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",116.0,1.259500542888165,5319.0,1.705906689886754,85970,1.7358976238374262,-0.47639708094926125,-0.44640614699858916,0.7255615340401677
393,OTHER DIGESTIVE SYSTEM DIAGNOSES WITH MCC,17.0,0.18458197611292074,747.0,0.23957742006869812,17381,0.3509554100258032,-0.16637343391288248,-0.05499544395577738,0.5259413898174408
394,OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC,27.0,0.2931596091205212,1266.0,0.4060308083091992,23654,0.4776191973275617,-0.1844595882070405,-0.112871199188678,0.6137936053677212
402,SINGLE LEVEL COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION EXCEPT CERVICAL,22.0,0.23887079261672098,79.0,0.025336835589594577,1378,0.02782443789284603,0.21104635472387495,0.2135339570271264,8.584927880183244
417,LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH MCC,18.0,0.19543973941368079,252.0,0.08082129833642827,4116,0.08310985948255026,0.11232987993113053,0.11461844107725251,2.3515830808824227
418,LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH CC,21.0,0.2280130293159609,657.0,0.2107126706628309,11142,0.2249781473164662,0.0030348819994946985,0.01730035865313001,1.0134896746003765
428,MULTIPLE LEVEL COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION EXCEPT CERVICAL WITHOUT CC/,12.0,0.13029315960912052,29.0,0.00930086369744611,281,0.0056739238373655545,0.12461923577175497,0.12099229591167442,22.963501686624088
432,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH MCC,28.0,0.30401737242128124,741.0,0.23765310344164028,10422,0.2104399794769531,0.09357739294432815,0.06636426897964096,1.44467497657486
433,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH CC,11.0,0.11943539630836049,207.0,0.06638892363349466,2658,0.053670069607536106,0.06576532670082438,0.05304647267486583,2.22536317134923
435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH MCC,23.0,0.249728555917481,365.0,0.11706259481268382,7905,0.1596169677379883,0.09011158817949269,0.13266596110479717,1.5645489289547907
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC,23.0,0.249728555917481,418.0,0.1340607250183612,6261,0.12642148450443322,0.12330707141304778,0.1156678308991198,1.9753648432179562
441,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH MCC",25.0,0.2714440825190011,416.0,0.13341928614267526,7597,0.15339786260664098,0.11804621991236011,0.13802479637632584,1.769542794837153
444,DISORDERS OF THE BILIARY TRACT WITH MCC,13.0,0.14115092290988057,334.0,0.10712029223955176,6191,0.1250080515200361,0.016142871389844465,0.03403063067032881,1.12913465327677
445,DISORDERS OF THE BILIARY TRACT WITH CC,19.0,0.2062975027144408,375.0,0.1202697891911135,9692,0.19569989263966886,0.010597610074771946,0.0860277135233273,1.054152355077091
